Date;Open;High;Low;Close;Volume
2024.05.31 21:55;2323.16;2323.59;2322.85;2322.98;302
2024.05.31 22:00;2322.98;2323.25;2321.57;2321.6;324
2024.05.31 22:05;2321.67;2322.95;2321.53;2322.59;268
2024.05.31 22:10;2322.6;2322.65;2321.3;2321.46;259
2024.05.31 22:15;2321.46;2322.32;2320.6;2321.97;293
2024.05.31 22:20;2321.91;2322.68;2321.68;2321.88;267
2024.05.31 22:25;2321.92;2322.38;2321.18;2321.59;250
2024.05.31 22:30;2321.57;2322.77;2321.34;2322.55;273
2024.05.31 22:35;2322.55;2322.73;2321.37;2321.66;284
2024.05.31 22:40;2321.65;2324.13;2321.65;2323.94;314
2024.05.31 22:45;2323.95;2327.15;2323.82;2327.12;343
2024.05.31 22:50;2327.03;2328.27;2326.16;2327.49;378
2024.05.31 22:55;2327.58;2327.86;2326.67;2327.62;394
2024.05.31 23:00;2327.73;2328.97;2327.23;2328.25;303
2024.05.31 23:05;2328.24;2328.44;2327.56;2327.7;168
2024.05.31 23:10;2327.69;2329.03;2327.68;2329.01;180
2024.05.31 23:15;2328.88;2329.49;2328.72;2328.87;134
2024.05.31 23:20;2328.9;2329.29;2328.35;2328.39;142
2024.05.31 23:25;2328.39;2328.48;2327.65;2328.14;131
2024.05.31 23:30;2328.14;2328.19;2327.55;2328.11;105
2024.05.31 23:35;2328.12;2330.61;2327.83;2330.03;141
2024.05.31 23:40;2330.03;2330.47;2328.03;2329.18;163
2024.05.31 23:45;2329.18;2330.27;2329.18;2329.45;132
2024.05.31 23:50;2329.45;2329.68;2325.97;2326.44;169
2024.05.31 23:55;2326.44;2328.06;2326.44;2327.46;118
2024.06.03 01:00;2328.79;2329.52;2328.34;2328.81;397
2024.06.03 01:05;2328.37;2328.75;2326.57;2326.96;186
2024.06.03 01:10;2327.02;2327.02;2324.13;2325.15;217
2024.06.03 01:15;2325.15;2326.65;2325.07;2325.97;144
2024.06.03 01:20;2325.96;2325.96;2324.58;2325.21;115
2024.06.03 01:25;2325.25;2325.28;2323.34;2323.4;135
2024.06.03 01:30;2323.4;2325.21;2323.4;2324.68;158
2024.06.03 01:35;2324.73;2326.52;2324.39;2325.89;159
2024.06.03 01:40;2325.88;2326.69;2325.36;2326.31;174
2024.06.03 01:45;2326.31;2326.7;2326.0;2326.0;135
2024.06.03 01:50;2325.98;2326.23;2325.41;2325.62;101
2024.06.03 01:55;2325.62;2326.84;2325.18;2326.44;133
2024.06.03 02:00;2326.43;2326.82;2325.84;2326.16;137
2024.06.03 02:05;2326.15;2326.69;2325.44;2325.74;134
2024.06.03 02:10;2325.66;2326.19;2325.57;2326.03;94
2024.06.03 02:15;2326.07;2326.27;2325.91;2325.94;114
2024.06.03 02:20;2325.94;2326.28;2325.06;2325.15;126
2024.06.03 02:25;2325.19;2325.8;2325.09;2325.51;120
2024.06.03 02:30;2325.45;2325.74;2324.73;2325.36;150
2024.06.03 02:35;2325.36;2325.79;2324.52;2324.63;139
2024.06.03 02:40;2324.63;2325.49;2324.02;2325.13;179
2024.06.03 02:45;2325.09;2326.25;2325.09;2326.14;126
